100 2506
1	3
1	5
1	7
1	8
1	10
1	11
1	18
1	20
1	21
1	23
1	24
1	26
1	29
1	32
1	34
1	36
1	39
1	41
1	43
1	44
1	45
1	48
1	49
1	51
1	52
1	54
1	57
1	62
1	64
1	65
1	68
1	69
1	70
1	71
1	76
1	77
1	78
1	83
1	85
1	86
1	88
1	92
1	98
1	99
1	100
2	4
2	6
2	8
2	9
2	10
2	14
2	15
2	17
2	18
2	19
2	21
2	23
2	24
2	26
2	29
2	32
2	35
2	36
2	37
2	38
2	39
2	40
2	42
2	43
2	44
2	45
2	46
2	48
2	49
2	50
2	52
2	53
2	56
2	59
2	60
2	61
2	65
2	68
2	70
2	71
2	74
2	75
2	77
2	78
2	81
2	82
2	83
2	84
2	86
2	89
2	90
2	94
2	96
2	98
3	5
3	7
3	13
3	18
3	21
3	24
3	29
3	31
3	33
3	34
3	35
3	42
3	44
3	45
3	49
3	51
3	52
3	53
3	55
3	56
3	58
3	59
3	60
3	61
3	62
3	63
3	64
3	65
3	66
3	67
3	68
3	69
3	70
3	71
3	74
3	75
3	76
3	81
3	84
3	87
3	88
3	90
3	91
3	92
3	93
3	95
3	96
3	100
4	6
4	7
4	11
4	12
4	14
4	16
4	17
4	18
4	21
4	22
4	24
4	29
4	30
4	31
4	37
4	39
4	40
4	41
4	44
4	45
4	47
4	48
4	49
4	51
4	55
4	56
4	58
4	59
4	60
4	64
4	65
4	68
4	69
4	70
4	73
4	74
4	75
4	76
4	78
4	86
4	87
4	88
4	96
4	97
4	98
4	99
5	9
5	10
5	12
5	13
5	16
5	18
5	20
5	22
5	24
5	25
5	28
5	30
5	31
5	33
5	34
5	38
5	42
5	47
5	48
5	49
5	50
5	51
5	52
5	56
5	57
5	58
5	64
5	65
5	68
5	69
5	71
5	73
5	74
5	76
5	77
5	78
5	79
5	80
5	81
5	82
5	84
5	85
5	87
5	88
5	91
5	94
5	95
5	96
5	99
5	100
6	7
6	8
6	10
6	12
6	16
6	17
6	20
6	21
6	22
6	23
6	24
6	26
6	27
6	28
6	29
6	30
6	32
6	36
6	38
6	39
6	40
6	43
6	45
6	49
6	50
6	51
6	53
6	54
6	55
6	58
6	59
6	60
6	61
6	62
6	65
6	66
6	67
6	68
6	70
6	71
6	72
6	76
6	77
6	78
6	79
6	81
6	82
6	88
6	89
6	91
6	94
6	98
7	10
7	11
7	14
7	17
7	20
7	21
7	22
7	24
7	25
7	26
7	27
7	30
7	35
7	36
7	38
7	39
7	40
7	41
7	43
7	44
7	45
7	51
7	52
7	53
7	56
7	57
7	58
7	60
7	63
7	68
7	70
7	72
7	75
7	76
7	77
7	78
7	81
7	82
7	83
7	84
7	86
7	95
7	96
7	98
8	10
8	11
8	13
8	14
8	15
8	19
8	21
8	23
8	24
8	25
8	26
8	29
8	32
8	35
8	36
8	37
8	39
8	41
8	42
